Issue key,Issue id,Summary,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Status
PP-10306,1050541,"Condition of Interest ""Key"" as a Shared field.",DAP - DTP Platform - Sprint 4,,,,,3,Closed
PP-10272,1048558,Mandatory 'contact medium' check on DTP Contact form,DAP- DTP Platform-Sprint 2,,,,,5,Closed
PP-10294,1049638,DTP - Human API- UI Flow,DAP - DTP Platform - Sprint 4,,,,,8,Closed
PP-10000,1033645,Create and manage URL query parameters,DAP - DTP Platform - Sprint 4,,,,,5,Closed
PP-10499,1056526,“Progress bar” should be updated for DNQ flow,DAP - DTP Platform - Sprint 4,,,,,2,Closed
PP-10457,1055456,Human API-Retry mechanism,DAP - DTP Platform- Sprint 3,,,,,5,Closed
PP-9718,1016927,"""Revert records"" when exclusion criteria modified for Siteupdate job",GPSS Sprint 30 - Rel 2021.6,GPSS Sprint 33 Release 2021.7,DAP- DTP Platform - Sprint 1,,,2,Development Complete
PP-10269,1048130,DTP-  Human API integration,DAP - DTP Platform- Sprint 3,,,,,8,Closed
PP-10001,1033649,"Day, Month and Year of birth configurable fields from SiteCore",DAP - DTP Platform - Sprint 6,,,,,3,Development In Progress
PP-11030,1078664,Validate user entered Zipcode and Prepend the text from SiteCore CMS,,,,,,,Open
PP-10677,1065437,[EPIC 10648] Opthea HCP- Landing page,DAP - REGISTRY/CR.COM Sprint 6,,,,,5,Testing In Progress
PP-11035,1079321,"Cr.com Production: Updating duplicate ""Therapeutic Area"" value/id for existing users",,,,,,,Open
PP-10638,1065079,Display “Contact mediums” on checking Privacy policy consent checkbox on contact form,DAP - DTP Platform - Sprint 5,,,,,5,Testing In Progress
PP-6691,893613,CR.COM TMDH directory export from Sitecore (RITM sprint item),Backlog cr.com,,,,,,Open
PP-5107,844459,Search input field amend,Backlog cr.com,,,,,,Open
PP-5915,866001,unsubscribe scenarios across platform,Backlog cr.com,,,,,,Open
PP-6590,890079,CR.com - Location input should be consistently and meaningfully labelled across the site,Backlog cr.com,,,,,,Open
PP-6588,890076,CR.com - workflow for publishing of Healthday articles,Backlog cr.com,,,,,,Open
PP-6593,890092,CR.com - redesign of search results page,Backlog cr.com,,,,,,Open
PP-5100,844410,User profile form functionality,Backlog cr.com,,,,,,Development In Progress
PP-6595,890097,CR.com unsubscribe mechanism review ,Backlog cr.com,,,,,,Open
PP-5109,844465,Incorporate changes made to Sitecore for survey management support,Backlog cr.com,,,,,,Open
PP-6597,890099,CR.com - Healthday article management in CMS,Backlog cr.com,,,,,,Open
PP-3193,687990,Cr.Com - Global Compliancy,Backlog cr.com,,,,,,Open
PP-5110,844467,Search results enchancements,Backlog cr.com,,,,,,Open
PP-5111,844469,Email templates - branding,Backlog cr.com,,,,,,Open
PP-3058,678859,"Project ID field needed in SiteCore Segment to exclude Trial Intent, AZMCL and EPR users from CR.com communications",Backlog cr.com,,,,,,Open
PP-5112,844470,Forgot password - user not recognized email,Backlog cr.com,,,,,,Open
PP-6591,890085,CR.com: Trial finder search page redesign,Backlog cr.com,,,,,,Open
PP-5105,844457,Survey launch and finish page functionality,Backlog cr.com,,,,,,Open
PP-4512,771282,CR.com revised home page,Backlog cr.com,,,,,,Development Complete
PP-5104,844447,Add health condition button from health condition page,Backlog cr.com,,,,,,Open
PP-3079,679715,Study Detail Page: Dates Posted and Dates Updated Missing,Backlog cr.com,,,,,,Open
PP-6592,890086,CR.com - Condition of interest in trial matcher search ,Backlog cr.com,,,,,,Open
PP-6954,910542,Sitecore - Email campaign reminders where recipient has not responded ,Backlog cr.com,,,,,,Open
PP-5108,844462,Existing sign up page removal,Backlog cr.com,,,,,,Open
PP-6598,890100,CR.com - review of Sitecore implementation and identified actions,Backlog cr.com,,,,,,Open
PP-3059,678871,Find Trials - Search Algorithm,Backlog cr.com,,,,,,Open
PP-6594,890096,CR.com - redesign of trial details page,Backlog cr.com,,,,,,Open
PP-6587,890075,CR.com - Healthday article tiles on homepage,Backlog cr.com,,,,,,Open
PP-6589,890077,CR.com homepage amends (still required?),Backlog cr.com,,,,,,Open
PP-5595,859074,Forgot Password - user recognized email,Backlog cr.com,,,,,,Open
PP-3192,687978,Cr.Com - GDPR Compliancy,Backlog cr.com,,,,,,Open
